district_id,pop,nmu500,nmu2k,nmu10k,nmuinf,ncit,rurba,avgsal,urat95,urat96,ent_ppt,ncri95,ncri96,city,state,zipcode
1,1204953,0,0,0,1,1,100,12541,0.29,0.43,167,85677,99107,Denver,Colorado,80202
54,387570,0,0,0,1,1,100,9897,1.60,1.96,140,18721,18696,Denver,Colorado,80219
74,323870,0,0,0,1,1,100,10673,4.75,5.44,100,18782,18347,Aurora,Colorado,80015
26,170449,0,0,0,1,1,100,10787,2.64,3.09,131,6041,6261,Aurora,Colorado,80016
13,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,Denver,Colorado,80249
41,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445,5471,Colorado Springs,Colorado,80909
69,42821,4,13,5,1,3,48.4,8173,?,7.01,124,?,1358,Littleton,Colorado,80130
18,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,Colorado Springs,Colorado,80910
31,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,Arvada,Colorado,80005
39,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,Brighton,Colorado,80601
20,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,Vail,Colorado,81657
19,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,Lafayette,Colorado,80026
60,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,Aurora,Colorado,80017
65,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,Arvada,Colorado,80004
38,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,Denver,Colorado,80226
6,77963,60,23,4,2,4,51.5,8546,2.95,4.02,126,2640,3120,Pueblo,Colorado,81005
58,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,Denver,Colorado,80210
72,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,Greeley,Colorado,80634
77,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,Loveland,Colorado,80538
34,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,Golden,Colorado,80401
66,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,Longmount,Colorado,80501
3,75232,55,26,4,1,5,41.7,8980,1.95,2.21,111,2824,2813,Pueblo,Colorado,81001
10,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,Louisville,Colorado,80027
75,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,Littleton,Colorado,80127
63,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,Littleton,Colorado,80122
2,88884,80,26,6,2,5,46.7,8507,1.67,1.85,132,2159,2674,Englewood,Colorado,80112
45,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,Littleton,Colorado,80120
15,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,Fountain,Colorado,80817
62,145688,22,41,13,2,5,40.7,8544,1.29,1.86,109,2719,2906,Littleton,Colorado,80123
7,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,Denver,Colorado,80228
50,102609,75,33,2,3,6,52,8187,4.83,5.45,94,2123,2134,Fort Collins,Colorado,80524
5,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,Denver,Colorado,80211
22,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,Littleton,Colorado,80129
9,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,Englewood,Colorado,80111
29,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,Boulder,Colorado,80302
47,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,Aurora,Colorado,80012
61,117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,Colorado Springs,Colorado,80920
12,107870,84,29,6,1,6,58,8754,3.83,4.31,137,3804,3868,Colorado Springs,Colorado,80906
67,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,Littleton,Colorado,80128
43,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,Aurora,Colorado,80011
4,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,Denver,Colorado,80239
59,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,Denver,Colorado,80220
68,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,Greeley,Colorado,80631
17,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,Castle Rock,Colorado,80104
42,95907,87,25,5,2,7,59.1,8388,2.41,2.94,87,1658,1668,Longmount,Colorado,80503
35,88768,10,18,5,1,7,80.5,8867,1.02,1.21,130,3384,3620,Brighton,Colorado,80602
53,107911,88,33,6,2,7,50.9,8240,2.53,3.56,99,1850,1903,Westminster,Colorado,80031
44,105606,77,26,7,2,7,53,8254,2.79,3.76,97,2166,2325,Denver,Colorado,80227
21,103347,87,16,7,1,7,67,9104,1.51,2.07,123,2299,2354,Colorado Springs,Colorado,80911
70,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,Parker,Colorado,80134
11,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,Pueblo,Colorado,81007
27,67298,71,19,10,0,7,43.8,8561,0.65,1.29,110,1029,1127,Canon City,Colorado,81212
73,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,Fort Collins,Colorado,80525
76,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,Loveland,Colorado,80537
40,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,Aurora,Colorado,80010
24,122603,25,21,6,2,8,80,8991,1.39,2.01,128,5198,5273,Colorado Springs,Colorado,80916
8,112065,95,19,7,1,8,69.4,11277,1.25,1.44,127,5179,4987,Arvada,Colorado,80003
28,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,Durango,Colorado,81301
16,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,Denver,Colorado,80204
56,124605,11,42,14,1,8,46,8772,4.69,4.98,126,2854,3158,Denver,Colorado,80221
57,161954,21,37,20,3,8,48,8720,3.73,4.5,116,3729,3651,Broomfield,Colorado,80020
23,87419,21,11,4,3,9,85.5,8624,1.79,2.66,102,2879,3198,Denver,Colorado,80205
49,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,Colorado Springs,Colorado,80917
37,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,Fort Collins,Colorado,80521
36,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,Colorado Springs,Colorado,80918
48,78955,50,24,8,1,9,59,9060,1.78,2.44,124,1655,1717,Parker,Colorado,80138
14,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,Allenspark,Colorado,80504
55,157042,49,70,18,0,9,33.9,8743,1.88,2.43,111,3659,3894,Commerce City,Colorado,80022
25,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822,2218,Broomfield,Colorado,80021
32,105058,32,19,7,2,10,81,9272,2.80,3.22,118,4340,4505,Denver,Colorado,80260
46,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,Denver,Colorado,80231
52,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,Fort Collins,Colorado,80526
30,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,Thornton,Colorado,80241
64,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,Denver,Colorado,80229
71,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,Denver,Colorado,80233
51,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,Aurora,Colorado,80014
33,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,Littleton,Colorado,80126
